"x"
"105" "MUDSLIDES"
"106" "GRADIENT WIND"
"107" "SNOW AND ICE"
"108" "COLD"
"109" "FREEZING SPRAY"
"110" "DOWNBURST"
"111" "HEATBURST"
"112" "METRO STORM, MAY 26"
"113" "MICROBURST"
"114" "WET MICOBURST"
"115" "HAIL/WIND"
"116" "HAIL(0.75)"
"117" "URBAN FLOODING"
"118" "NO SEVERE WEATHER"
"119" "URBAN FLOOD"
"120" "RECORD TEMPERATURES"
"121" "LIGHT SNOWFALL"
"122" "FREEZING DRIZZLE"
"123" "GUSTY WIND/RAIN"
"124" "GUSTY WIND/HVY RAIN"
"125" "EARLY SNOWFALL"
"126" "MONTHLY SNOWFALL"
"127" "RECORD HEAT"
"128" "SEASONAL SNOWFALL"
"129" "MONTHLY RAINFALL"
"130" "COLD TEMPERATURE"
"131" "SML STREAM FLD"
"132" "HEAT WAVE"
"133" "MUDSLIDE/LANDSLIDE"
"134" "SAHARAN DUST"
"135" "VOLCANIC ASH"
"136" "VOLCANIC ASH PLUME"
"137" "THUNDERSNOW SHOWER"
"138" "NONE"
"139" "COLD AND SNOW"
"140" "DAM BREAK"
"141" "RAIN"
"142" "RAIN/SNOW"
"143" "TSTM WIND (G45)"
"144" "RECORD WARMTH"
"145" "UNSEASONABLY WARM"
"146" "SLEET/FREEZING RAIN"
"147" "BLOW-OUT TIDES"
"148" "UNSEASONABLY COLD"
"149" "UNSEASONABLY COOL"
"150" "TSTM HEAVY RAIN"
"151" "UNSEASONABLY DRY"
"152" "GUSTY WINDS"
"153" "TSTM WIND 40"
"154" "TSTM WIND 45"
"155" "HARD FREEZE"
"156" "TSTM WIND (41)"
"157" "HEAT"
"158" "RIVER FLOOD"
"159" "TSTM WIND (G40)"
"160" "RIP CURRENT"
"161" "TSTM WND"
"162" "DENSE FOG"
"163" "MUD SLIDE"
"164" "FROST"
"165" "FROST/FREEZE"
"166" "RAIN (HEAVY)"
"167" "PROLONG COLD"
"168" "COLD AND FROST"
"169" "AGRICULTURAL FREEZE"
"170" "URBAN/SML STREAM FLDG"
"171" "SNOW SQUALL"
"172" "HEAVY SNOW SQUALLS"
"173" "SNOW/ICE"
"174" "LAKE EFFECT SNOW"
"175" "STRONG WIND GUST"
"176" "LATE FREEZE"
"177" "RECORD SNOWFALL"
"178" "BLOW-OUT TIDE"
"179" "THUNDERSTORM"
"180" "HYPOTHERMIA/EXPOSURE"
"181" "MIXED PRECIPITATION"
"182" "RECORD HIGH"
"183" "COASTALSTORM"
"184" "SNOW AND SLEET"
"185" "FUNNEL CLOUDS"
"186" "WATERSPOUTS"
"187" "ICE"
"188" "ICESTORM/BLIZZARD"
"189" "FLOOD/STRONG WIND"
"190" "TSTM WIND AND LIGHTNING"
"191" "SEVERE THUNDERSTORMS"
"192" "EXCESSIVE RAIN"
"193" "MOUNTAIN SNOWS"
"194" "URBAN/SMALL STRM FLDG"
"195" "WET MICROBURST"
"196" "HEAVY SURF AND WIND"
"197" "MILD AND DRY PATTERN"
"198" "TYPHOON"
"199" "LANDSLIDES"
"200" "HIGH SWELLS"
"201" "HIGH  SWELLS"
"202" "HIGH WINDS"
"203" "DRY SPELL"
"204" "UNSEASONAL RAIN"
"205" "EARLY RAIN"
"206" "PROLONGED RAIN"
"207" "WINTERY MIX"
"208" "COASTAL FLOODING/EROSION"
"209" "UNSEASONABLY WET"
"210" "HOT SPELL"
"211" "UNSEASONABLY HOT"
"212" "UNSEASONABLY WARM AND DRY"
"213" "TSTM WIND  (G45)"
"214" "HIGH WIND (G40)"
"215" "TSTM WIND (G35)"
"216" "DRY WEATHER"
"217" "TSTM WINDS"
"218" "FREEZING RAIN/SLEET"
"219" "ABNORMAL WARMTH"
"220" "UNUSUAL WARMTH"
"221" "WAKE LOW WIND"
"222" "COLD TEMPERATURES"
"223" "COLD WIND CHILL TEMPERATURES"
"224" "MODERATE SNOW"
"225" "MODERATE SNOWFALL"
"226" "URBAN/STREET FLOODING"
"227" "COASTAL EROSION"
"228" "UNUSUAL/RECORD WARMTH"
"229" "BITTER WIND CHILL"
"230" "BITTER WIND CHILL TEMPERATURES"
"231" "SEICHE"
"232" "TSTM"
"233" "COASTAL  FLOODING/EROSION"
"234" "SNOW DROUGHT"
"235" "UNSEASONABLY WARM YEAR"
"236" "HYPERTHERMIA/EXPOSURE"
"237" "SNOW/SLEET"
"238" "ROCK SLIDE"
"239" "ICE PELLETS"
"240" "PATCHY DENSE FOG"
"241" "RECORD COOL"
"242" "RECORD WARM"
"243" "HOT WEATHER"
"244" "TROPICAL DEPRESSION"
"245" "VOLCANIC ERUPTION"
"246" "COOL SPELL"
"247" "WIND ADVISORY"
"248" "GUSTY WIND/HAIL"
"249" "RED FLAG FIRE WX"
"250" "FIRST FROST"
"251" "EXCESSIVELY DRY"
"252" "HEAVY SEAS"
"253" "FLASH FLOOD/FLOOD"
"254" "LIGHT SNOW/FREEZING PRECIP"
"255" "VOG"
"256" "EXCESSIVE RAINFALL"
"257" "FLASH FLOODING"
"258" "MONTHLY PRECIPITATION"
"259" "MONTHLY TEMPERATURE"
"260" "RECORD DRYNESS"
"261" "EXTREME WINDCHILL TEMPERATURES"
"262" "EXTREME WIND CHILL"
"263" "DRY CONDITIONS"
"264" "HEAVY RAINFALL"
"265" "REMNANTS OF FLOYD"
"266" "LANDSPOUT"
"267" "DRIEST MONTH"
"268" "RECORD  COLD"
"269" "LATE SEASON HAIL"
"270" "EXCESSIVE SNOW"
"271" "WINTER MIX"
"272" "DRYNESS"
"273" "FLOOD/FLASH/FLOOD"
"274" "WIND AND WAVE"
"275" "SEVERE THUNDERSTORM"
"276" "LIGHT FREEZING RAIN"
"277" "DRY"
"278" "RECORD RAINFALL"
"279" "RECORD PRECIPITATION"
"280" "ICE ROADS"
"281" "HIGH SEAS"
"282" "SLEET"
"283" "ROUGH SEAS"
"284" "UNSEASONABLY WARM/WET"
"285" "UNSEASONABLY COOL & WET"
"286" "UNUSUALLY WARM"
"287" "TSTM WIND G45"
"288" "NON SEVERE HAIL"
"289" "RECORD SNOW"
"290" "SNOW/FREEZING RAIN"
"291" "SNOW/BLOWING SNOW"
"292" "NON-SEVERE WIND DAMAGE"
"293" "UNUSUALLY COLD"
"294" "WARM WEATHER"
"295" "THUNDERSTORM WIND (G40)"
"296" "LANDSLIDE"
"297" "WALL CLOUD"
"298" "HIGH WATER"
"299" "UNSEASONABLY WARM & WET"
"300" "LOCALLY HEAVY RAIN"
"301" "WIND GUSTS"
"302" "UNSEASONAL LOW TEMP"
"303" "HIGH SURF ADVISORY"
"304" "LATE SEASON SNOW"
"305" "GUSTY LAKE WIND"
"306" "ABNORMALLY DRY"
"307" "WINTER WEATHER MIX"
"308" "RED FLAG CRITERIA"
"309" "WND"
"310" "CSTL FLOODING/EROSION"
"311" "SMOKE"
"312" "SNOW ADVISORY"
"313" "EXTREMELY WET"
"314" "UNUSUALLY LATE SNOW"
"315" "VERY DRY"
"316" "RECORD LOW RAINFALL"
"317" "ROGUE WAVE"
"318" "SNOWMELT FLOODING"
"319" "PROLONG WARMTH"
"320" "ACCUMULATED SNOWFALL"
"321" "FALLING SNOW/ICE"
"322" "DUST DEVEL"
"323" "NON-TSTM WIND"
"324" "NON TSTM WIND"
"325" "BRUSH FIRE"
"326" "GUSTY THUNDERSTORM WINDS"
"327" "PATCHY ICE"
"328" "SNOW SHOWERS"
"329" "HEAVY RAIN EFFECTS"
"330" "BLOWING DUST"
"331" "EXCESSIVE HEAT/DROUGHT"
"332" "NORTHERN LIGHTS"
"333" "MARINE TSTM WIND"
"334" "WIND CHILL"
"335" "HAZARDOUS SURF"
"336" "WILDFIRE"
"337" "WINTER WEATHER/MIX"
"338" "ASTRONOMICAL HIGH TIDE"
"339" "COLD WEATHER"
"340" "VERY WARM"
"341" "ABNORMALLY WET"
"342" "TORNADO DEBRIS"
"343" "EXTREME COLD/WIND CHILL"
"344" "ICE ON ROAD"
"345" "FIRST SNOW"
"346" "DROWNING"
"347" "GUSTY THUNDERSTORM WIND"
"348" "MARINE HAIL"
"349" "HIGH SURF ADVISORIES"
"350" "HURRICANE/TYPHOON"
"351" "HEAVY SURF/HIGH SURF"
"352" "SLEET STORM"
"353" "STORM SURGE/TIDE"
"354" "COLD/WIND CHILL"
"355" "LAKE-EFFECT SNOW"
"356" "MARINE HIGH WIND"
"357" "TSUNAMI"
"358" "DENSE SMOKE"
"359" "LAKESHORE FLOOD"
"360" "MARINE THUNDERSTORM WIND"
"361" "MARINE STRONG WIND"
"362" "ASTRONOMICAL LOW TIDE"
"363" "VOLCANIC ASHFALL"
